time,users
22.12.18 09:00,64
22.12.18 10:00,79
22.12.18 11:00,97
22.12.18 12:00,107
22.12.18 13:00,105
22.12.18 14:00,111
22.12.18 15:00,109
22.12.18 16:00,119
22.12.18 17:00,121
22.12.18 18:00,123
22.12.18 19:00,118
22.12.18 20:00,128
22.12.18 21:00,119
22.12.18 22:00,107
22.12.18 23:00,109
23.12.18 00:00,87
23.12.18 01:00,86
23.12.18 02:00,69
23.12.18 03:00,56
23.12.18 04:00,46
23.12.18 05:00,47
23.12.18 06:00,39
23.12.18 07:00,36
23.12.18 08:00,38
23.12.18 09:00,50
23.12.18 10:00,57
23.12.18 11:00,55
23.12.18 12:00,63
23.12.18 13:00,77
23.12.18 14:00,70
23.12.18 15:00,83
23.12.18 16:00,73
23.12.18 17:00,75
23.12.18 18:00,79
23.12.18 19:00,69
23.12.18 20:00,87
23.12.18 21:00,81
23.12.18 22:00,79
23.12.18 23:00,72
24.12.18 00:00,69
24.12.18 01:00,65
24.12.18 02:00,62
24.12.18 03:00,50
24.12.18 04:00,42
24.12.18 05:00,37
24.12.18 06:00,43
24.12.18 07:00,36
24.12.18 08:00,47
24.12.18 09:00,45
24.12.18 10:00,55
24.12.18 11:00,73
24.12.18 12:00,87
24.12.18 13:00,81
24.12.18 14:00,90
24.12.18 15:00,96
24.12.18 16:00,82
24.12.18 17:00,97
24.12.18 18:00,91
24.12.18 19:00,111
24.12.18 20:00,93
24.12.18 21:00,92
24.12.18 22:00,74
24.12.18 23:00,58
25.12.18 00:00,50
25.12.18 01:00,43
25.12.18 02:00,39
25.12.18 03:00,30
25.12.18 04:00,26
25.12.18 05:00,38
25.12.18 06:00,41
25.12.18 07:00,42
25.12.18 08:00,39
25.12.18 09:00,39
25.12.18 10:00,49
25.12.18 11:00,46
25.12.18 12:00,49
25.12.18 13:00,57
25.12.18 14:00,56
25.12.18 15:00,57
25.12.18 16:00,45
25.12.18 17:00,47
25.12.18 18:00,42
25.12.18 19:00,41
25.12.18 20:00,44
25.12.18 21:00,35
25.12.18 22:00,46
25.12.18 23:00,39
26.12.18 00:00,45
26.12.18 01:00,35
26.12.18 02:00,36
26.12.18 03:00,36
26.12.18 04:00,33
26.12.18 05:00,37
26.12.18 06:00,42
26.12.18 07:00,43
26.12.18 08:00,49
26.12.18 09:00,54
26.12.18 10:00,61
26.12.18 11:00,68
26.12.18 12:00,75
26.12.18 13:00,74
26.12.18 14:00,86
26.12.18 15:00,108
26.12.18 16:00,101
26.12.18 17:00,99
26.12.18 18:00,118
26.12.18 19:00,102
26.12.18 20:00,97
26.12.18 21:00,113
26.12.18 22:00,94
26.12.18 23:00,88
27.12.18 00:00,89
27.12.18 01:00,87
27.12.18 02:00,82
27.12.18 03:00,61
27.12.18 04:00,65
27.12.18 05:00,48
27.12.18 06:00,51
27.12.18 07:00,55
27.12.18 08:00,59
27.12.18 09:00,65
27.12.18 10:00,67
27.12.18 11:00,79
27.12.18 12:00,72
27.12.18 13:00,97
27.12.18 14:00,106
27.12.18 15:00,121
27.12.18 16:00,126
27.12.18 17:00,118
27.12.18 18:00,125
27.12.18 19:00,129
27.12.18 20:00,125
27.12.18 21:00,119
27.12.18 22:00,126
27.12.18 23:00,98
28.12.18 00:00,97
28.12.18 01:00,90
28.12.18 02:00,85
28.12.18 03:00,80
28.12.18 04:00,61
28.12.18 05:00,53
28.12.18 06:00,50
28.12.18 07:00,50
28.12.18 08:00,63
28.12.18 09:00,67
28.12.18 10:00,72
28.12.18 11:00,86
28.12.18 12:00,82
28.12.18 13:00,76
28.12.18 14:00,103
28.12.18 15:00,110
28.12.18 16:00,141
28.12.18 17:00,126
28.12.18 18:00,130
28.12.18 19:00,114
28.12.18 20:00,114
28.12.18 21:00,112
28.12.18 22:00,102
28.12.18 23:00,103
29.12.18 00:00,99
29.12.18 01:00,91
29.12.18 02:00,87
29.12.18 03:00,73
29.12.18 04:00,57
29.12.18 05:00,40
29.12.18 06:00,48
29.12.18 07:00,44
29.12.18 08:00,38
29.12.18 09:00,18
